;Returns;Volatility;PETR4.SA weight;WEGE3.SA weight;ITSA4.SA weight;KNRI11.SA weight;HGRE11.SA weight;HGLG11.SA weight;SAAG11.SA weight;PSSA3.SA weight;ABEV3.SA weight;TRXL11.SA weight;AGCX11.SA weight;BBDC4.SA weight;FLRY3.SA weight;VALE3.SA weight;PETR3.SA weight;ELPL3.SA weight;GRND3.SA weight;SAPR3.SA weight
1;0,3716113118725239;0,20800968265689437;0,020934851108307694;0,0782091762617381;0,05579177512629297;0,011146632639074883;0,028212120541041955;0,10517930361917592;0,01683922957828564;0,04139363111352539;0,10540583627852491;0,01320208484841688;0,07384520984419964;0,07893561933605579;0,07606737448905262;0,10303515297528298;0,03318360228013897;0,020456477915923577;0,039286509719890055;0,09887541232507198
2;0,3123173187624902;0,16477733636536676;0,025097783681138745;0,0335484189339383;0,047761202530241846;0,08724230226331404;0,1010334175039549;0,0336829429076447;0,015870749849625873;0,05579084221424761;0,059078346352711086;0,0803656400222296;0,06177959327017571;0,09791195673860446;0,053697688547623836;0,02949648948063119;0,10114161380759931;0,006452096449188254;0,0694560943075575;0,04059282113957288
3;0,39835064980743795;0,23518054370646863;0,03382700582970521;0,007300460028981639;0,01408158119490381;0,007912279524553194;0,03896237083024175;0,1098881304555864;0,0855620555731632;0,04524358029389415;0,03912725516970064;0,015722937869065232;0,066868747091742;0,0783325036719654;0,11425996470439129;0,05898323245280382;0,08053138400659257;0,054833876541732766;0,07234453398416135;0,07621810077681562
4;0,3708579377755;0,2211074388909706;0,11507344177378426;0,05837304167288285;0,032780596625469914;0,07300289008895391;0,04953451642116106;0,012684955313556108;0,11519065505713479;0,07117137011637736;0,03612578844227513;0,024540342006974303;0,02704759194174679;0,07419165703530944;0,06759118382772526;0,021056653155357468;0,0336834840288699;0,09320243350318562;0,07393396469204873;0,020815434297187317
5;0,35327162301519277;0,24759885028460824;0,09030939571805956;0,02409276021433455;0,06701574605230831;0,0847962955068854;0,054373307289759136;0,07080530479249006;0,09303526622141851;0,011945873750755133;0,039867797313894504;0,040864704563069634;0,05995877826566376;0,08958744979257544;0,09582801244020255;0,10095862867801413;0,031622091056567374;0,022468375534195676;0,016032061961556678;0,006438150848249706
6;0,3642869157340791;0,16928458873275837;0,08288043299594211;0,037121630202127526;0,09127787496540905;0,016171127897760162;0,05144683670630905;0,029737945830730275;0,0871004706213408;0,059197242864395296;0,05162703082938686;0,062290507459703805;0,0450444994830839;0,05202482524971724;0,011451483155209332;0,03221766533601513;0,0798033834889084;0,10310941813272548;0,0697417883956271;0,03775583638560829
7;0,35241364470870423;0,14441016204393592;0,001146472261514836;0,0887935086663696;0,0660538882479716;0,07366070868390323;0,054576994115281594;0,017642854112708276;0,0014569894967300634;0,08374969182381709;0,07696384351028819;0,018582804237307033;0,08166084590824062;0,05474424231253068;0,02141272443803955;0,08981713974398232;0,057635883501655;0,1028147088830744;0,0683320851502509;0,04095461490633496
8;0,39483630754872984;0,23455573105996336;0,10537201503899912;0,025722463892325603;0,020120332181326972;0,06814163219259099;0,06502138241585663;0,005635196299471502;0,050839673192020464;0,10501025952137118;0,015921406802920104;0,041545439697538426;0,06348660084933273;0,027346018417064008;0,10648893202824529;0,027567897678683194;0,0393111250150387;0,10989181876041758;0,0916301702848964;0,030947635731901214
9;0,3270330975013771;0,1876242362339981;0,038078304086181874;0,05213210873766237;0,013489707405493682;0,08637791115715056;0,0812220950891147;0,04945785826196981;0,09215514811782896;0,08830921310294496;0,018507185491489407;0,09591214910502857;0,060577449540197;0,0039229484073160185;0,09147965152385815;0,052795488104681626;0,06987130047231964;0,07062091163131827;0,014741252291065588;0,020349317474379024
10;0,3307491909618063;0,1884931357818539;0,09604867721539322;0,06467022004154446;0,04886395457176846;0,006238052906807554;0,07675434392951792;0,056883331184835864;0,03215425607212681;0,041539468807652274;0,1039898725390712;0,05402580966191458;0,023931082367219518;0,11724384617692424;0,0485336969474557;0,06827076239603229;0,0101399540276662;0,015887984009764218;0,12408731040342366;0,010737376740882036
